tier,stack,expected_cost_band_usd,entry_criteria,exit_criteria
T1-Full-FSDP,PyTorch FSDP + Lightning Fabric | 4xA100-80GB | bf16 mixed precision | full batch size,35-50/day,Default starting tier; monthly spend < 60% of cap; no budget alerts active,Monthly spend >= 80% cap OR daily spend >= 80% cap OR KS-REGRESSION triggered
T1-Full-DeepSpeed,DeepSpeed ZeRO-3 + Lightning | 4xA100-80GB | bf16 mixed precision | full batch size,35-50/day,Alternative to T1-FSDP when FSDP OOM or instability detected; same budget criteria,Same as T1-Full-FSDP
T2-Efficient-ZeRO2,DeepSpeed ZeRO-2 + Lightning | 2xA100-80GB | bf16 mixed precision | 75% batch size,20-35/day,Downgrade from T1 at 80% monthly cap; or cost-per-point > $15/pp,Gate metric regression > 5pp below T1 baseline requiring T1 restore; OR monthly spend drops below 50% cap for 7 consecutive days
T2-Efficient-ZeRO3,DeepSpeed ZeRO-3 + Lightning | 2xA100-80GB | bf16 mixed precision | 75% batch size,20-35/day,Model too large for ZeRO-2 memory at T2 GPU count; same budget criteria as T2-ZeRO2,Same as T2-Efficient-ZeRO2
T3-Compressed-QLoRA,QLoRA (4-bit NF4) + DeepSpeed ZeRO-2 | 1xA100-80GB | fp16 compute | 50% batch size,8-20/day,Downgrade from T2 at 90% monthly cap; or cost-per-point > $25/pp,Gate metric regression > 10pp below T2 baseline requiring T2 restore; OR monthly spend drops below 60% cap
T3-Compressed-Pruned,Magnitude pruning (30% sparsity) + DeepSpeed ZeRO-2 | 1xA100-80GB | bf16 | 50% batch size,8-20/day,Alternative to T3-QLoRA when quantization causes unacceptable accuracy loss,Same as T3-Compressed-QLoRA
T4-Eval-Only,No training stack | 1xA100-40GB or 1xA10 | inference only,2-8/day,Monthly spend >= 95% cap; eval harness runs only on existing checkpoints,New budget month begins; OR human approves budget amendment
T5-Full-Stop,No compute | all jobs terminated,0/day,Monthly spend >= 100% cap (KS-MONTHLY); all compute halted,New budget month begins with human approval; OR emergency budget amendment approved
T1-Ray-Scaled,PyTorch FSDP + Lightning + Ray Train | 8xA100-80GB | bf16 | full batch,50-100/day (requires pre-approval),Human pre-approval (T3); projected gate progress justifies 2x cost; monthly spend < 40% cap,Experiment completes; OR daily spend > $80; OR 6h without metric improvement
T2-Ray-Scaled,DeepSpeed ZeRO-3 + Ray Train | 4xA100-80GB | bf16 | 75% batch,25-50/day (requires pre-approval),Human pre-approval (T3); T1-Ray too expensive; monthly spend < 60% cap,Experiment completes; OR daily spend > $50; OR 6h without metric improvement
T1-Spot-FSDP,PyTorch FSDP + Lightning | 4xA100-80GB spot instances | bf16 | full batch + checkpointing every 30min,15-30/day,Spot availability > 80% in target region; preemption-tolerant workload; same budget criteria as T1-Full,Spot availability drops below 50%; OR preemption rate > 3/hour; OR budget criteria same as T1-Full
T2-Spot-ZeRO2,DeepSpeed ZeRO-2 | 2xA100-80GB spot instances | bf16 | 75% batch + frequent checkpoints,10-18/day,Spot availability > 80%; downgrade from T1-Spot or T2-Efficient; same budget criteria as T2,Same as T2-Efficient-ZeRO2 plus spot preemption thresholds
